TCGA_patient_barcode	14-3-3_beta	14-3-3_epsilon	14-3-3_zeta	4E-BP1	4E-BP1_pS65	4E-BP1_pT37T46	4E-BP1_pT70	53BP1	A-Raf_pS299	ACC_pS79	ACC1	Acetyl-a-Tubulin-Lys40	ACVRL1	Akt	Akt_pS473	Akt_pT308	AMPK_alpha	AMPK_pT172	Annexin-1	Annexin_VII	AR	ARHI	ARID1A	ASNS	ATM	B-Raf	Bad_pS112	Bak	Bap1-c-4	Bax	Bcl-2	Bcl-xL	Beclin	beta-Catenin	Bid	Bim	BRCA2	c-Jun_pS73	c-Kit	c-Met_pY1235	c-Myc	C-Raf	C-Raf_pS338	Caspase-7_cleavedD198	Caveolin-1	CD20	CD31	CD49b	CDK1	Chk1	Chk1_pS345	Chk2	Chk2_pT68	cIAP	Claudin-7	Collagen_VI	Cyclin_B1	Cyclin_D1	Cyclin_E1	Cyclin_E2	DJ-1	Dvl3	E-Cadherin	eEF2	eEF2K	EGFR	EGFR_pY1068	EGFR_pY1173	eIF4E	eIF4G	ER-alpha	ER-alpha_pS118	ERK2	ETS-1	FASN	Fibronectin	FoxM1	FOXO3a	FOXO3a_pS318_S321	G6PD	GAB2	GAPDH	GATA3	GSK3-alpha-beta	GSK3-alpha-beta_pS21_S9	GSK3_pS9	HER2	HER2_pY1248	HER3	HER3_pY1289	Heregulin	HSP70	IGFBP2	INPP4B	IRS1	JNK_pT183_Y185	JNK2	Ku80	Lck	LKB1	MAPK_pT202_Y204	MEK1	MEK1_pS217_S221	MIG-6	Mre11	mTOR	mTOR_pS2448	MYH11	Myosin-IIa_pS1943	N-Cadherin	N-Ras	NDRG1_pT346	NF-kB-p65_pS536	NF2	Notch1	P-Cadherin	p21	p27	p27_pT157	p27_pT198	p38_MAPK	p38_pT180_Y182	p53	p62-LCK-ligand	p70S6K	p70S6K_pT389	p90RSK	p90RSK_pT359_S363	PAI-1	Paxillin	PCNA	PDCD4	PDK1	PDK1_pS241	PEA-15	PEA15_pS116	PI3K-p110-alpha	PI3K-p85	PKC-alpha	PKC-alpha_pS657	PKC-delta_pS664	PKC-pan_BetaII_pS660	PR	PRAS40_pT246	PRDX1	PREX1	PTEN	Rab-25	Rab11	Rad50	Rad51	Raptor	Rb_pS807_S811	RBM15	Rictor	Rictor_pT1135	S6	S6_pS235_S236	S6_pS240_S244	SCD1	SF2	Shc_pY317	Smad1	Smad3	Smad4	Src	Src_pY416	Src_pY527	STAT3_pY705	STAT5-alpha	Stathmin	Syk	TAZ	TIGAR	Transglutaminase	TFRC	TSC1	Tuberin	Tuberin_pT1462	VEGFR2	VHL	XBP1	XRCC1	YAP	YAP_pS127	YB-1	YB-1_pS102	JAB1	MSH2	MSH6
TCGA-BH-A0B3	-0.118641985	-0.117766794	-0.038362509	-0.047029948	0.189784943	0.576670386	0.313498139	-0.554648318	0.420598243	-0.279219094	-0.373379306	2.1555234	-0.330072663	-0.311401182	1.108344418	0.913732801	-0.087486349	-0.180908026	0.381797195	-0.237819572	-1.02620289	-0.242152853	-0.243128872	1.128970684	-0.21952963	-0.04618996	0.359073803	-0.125586866	0.187860574	-0.051380405	-1.051337391	-0.047415421	-0.228953675	0.319876855	-0.176275412	-0.300049365	-0.283722974	0.352657109	-0.06713839	0.022694118	-0.155285801	0.139855304	0.126204	1.011219434	-0.406584894	-0.21158411	-0.013333021	0.054119755	0.191344712	0.194418645	0.054804756	0.153351636	0.142532115	-0.099754032	-0.297528074	-0.523673197	1.227984172	-0.369050847	0.506102626	0.034153788	-0.45944328	0.06632462	-0.501243652	0.165779605	-0.161595745	0.382619754	0.216508914	-0.050887377	-0.215318935	0.465902808	-2.999382162	-0.596961772	0.877904731	0.225503133	-0.638790374	0.525635505	0.981984292	0.034105958	0.047437847	0.132671228	0.438661303	0.111628032	-1.454066264	0.225505414	0.672630217	0.578990333	-0.463843009	-0.185481669	-0.261084406	-0.006477494	0.036231729	0.753546881	0.418120598	-0.959560342	-0.315127086	0.173899132	-0.380118007	-0.202304064	0.548399721	-0.280042055	0.852549312	-0.418474473	0.195891139	0.031912164	-0.05343627	-0.147263099	0.284940922	0.011433094	0.710542718	-0.054856112	-0.152238807	1.659994785	0.485904835	0.104573601	0.097994187	1.026711977	0.040539815	-0.187726725	-0.052797054	0.487912685	0.106941213	0.493249742	0.490941081	0.372375051	-0.019958365	0.172824216	-0.272746423	0.21616351	0.354063154	-0.069767424	0.127380563	0.749860313	-0.305717437	-0.278858477	-0.234710767	0.066679876	-0.190526488	0.113320047	-0.222490899	0.039127928	0.042855315	0.422284364	-0.83710896	0.409844828	-0.013406588	-0.515913684	-0.041335706	-0.115464624	-0.455621639	-0.206773474	0.037621345	-0.012840113	-0.139010078	0.56938864	-0.312015308	-0.155065571	0.299640275	1.61420736	1.103680159	0.245901412	-0.217917113	0	-0.116599251	-0.229835516	-0.142435342	-0.096913715	0.057936867	0.311601705	0.176612976	0.320503762	-0.1019335	0.84838198	-0.011223144	-0.122234867	-0.020202559	-0.070947087	0.384130235	-0.065092846	0.373103262	0.130280401	0.022774403	-0.246934271	-0.030281414	-0.024047521	0.028593334	-0.418184708	0.804607842	-0.129564618	-0.014943086	0.108282289
TCGA-A1-A0SJ	0.027750537	0.119500173	0.06212308	0.225028351	-0.187919798	-0.893141756	-0.181059961	-0.310647698	-0.307230491	-0.055932481	0.122330862	1.143142442	-0.030342203	0.155543733	-0.441378217	0.103794974	-0.019377102	-0.316693626	0.156679587	0.149527095	-0.161713805	-0.03030572	0.045512143	0.040849204	0.147409269	-0.006548959	-0.248422608	0.080604079	0.183448818	0.1599205	1.339061113	0.036299863	-0.281907461	-0.302709477	-0.147786093	0.532360602	-0.245740349	-0.304384369	0.056299719	-0.289800371	-0.534942323	0.076827541	-0.121980978	-0.318890191	1.668773136	0.049739383	-0.787451661	0.548834024	0	-0.235655607	-0.081010229	-0.455412071	-0.751085387	-0.059789235	0.062167295	0.997253262	0.686940306	0.279599398	0.427885534	0.15647244	0.230868841	-0.097464218	-0.015262224	-0.130404222	-0.014448562	0.266812547	0.182040435	0.007744384	0.185938804	0.191149538	0.221073703	0.341964259	0.985574815	0.208801021	0.472432862	0.3531752	0.269248685	0.289125621	-0.145355077	0.942159745	2.308216467	0.360432342	0.375630536	0.037879771	0.522663681	0.040888828	0.332560123	0.272200246	-0.156362431	-0.136706553	0.110953961	0.240243787	-0.459534659	0.410339751	0.189635838	-0.15187666	0.288547873	-0.306811709	0.397211801	-0.233354826	-0.880497855	0.371421138	-0.10656444	0.404495904	-0.563064775	-0.155934442	-0.294265094	3.128050772	-0.465732747	-0.015894135	0.042346257	-0.019197619	0.169224202	-0.069821737	0.183539195	0.47397914	0.079175752	0.159794337	-0.57548911	0.21130235	-0.249280692	0.283209477	-0.513483556	-0.09367833	0.363679372	-0.259067322	-0.409212303	-0.255017837	1.033184265	-0.249266437	0.352063372	-1.669090065	0.316976487	0.139430657	0.23715289	0.201721759	0.038631513	0.121419056	-0.311917908	-0.072008918	-0.040502154	-0.136672448	2.623621062	-0.259350548	0.580265009	1.522582608	-0.242946855	-0.650759375	-0.136809693	-0.043348957	0.112021291	0.092895799	-0.294845025	-0.054586268	0.546948818	-0.060460147	-0.222506186	-0.406455302	-0.631374091	-1.768644448	-0.07732336	-0.34057369	-0.037521459	0.401746265	0.03723471	0.500781597	-0.359204464	-0.395802986	-0.66885809	-0.386009991	-0.176260329	-0.132150981	-0.103674413	-0.193516043	0.079316798	-0.221740315	-0.348521192	-0.154122911	0.287048469	0.963149623	1.314922789	-0.411529144	-0.203441275	0.18028522	1.263759325	-0.348452419	-0.405027637	0.074881627	-0.048830652	-0.234971567
TCGA-BH-A0AZ	0.285447992	0.482627416	-0.134725052	-0.040878194	-0.329790658	-0.867826156	-0.001302863	-0.197375201	0.40182918	-0.829521578	-0.164779481	-1.936314611	0.229229072	0.177636015	-0.528640571	-0.210079426	0.298302071	0.449980986	1.110290668	0.452323769	-0.190304518	0.31031316	-0.104384676	-0.630923697	-0.074805707	-0.542685826	-1.095931392	0.410523151	0	0.325023891	0.572744222	0.033878722	-0.634974944	-0.575249164	0.388800499	-0.403971645	-0.120918366	-0.304019359	0.714993591	0.133288879	-0.138395444	-0.140259661	-0.128724766	-0.455655744	2.833606218	0.308530424	-0.577393353	0.309202165	-0.286610699	-0.084066767	0.079960058	-0.301896582	-0.814546492	-0.34844916	-0.521188785	1.578757514	-1.23111184	0.609161367	-0.027586394	0.113612813	0.603477039	0.177033684	-0.706931857	0.048836724	0.063554856	0.498177325	0.220921164	0.429529182	0.328939473	-0.574122953	-0.041021795	-0.402684449	0.567169372	0.352633871	0.242590621	1.007599353	-0.401914074	0.32674315	-0.18175387	0.434874104	0.094390772	-0.345351875	0.536887574	-0.25472627	-1.384938603	-1.760085012	-0.241158487	0.181796584	0.229132865	0.440356754	0.467847035	0.555363924	-0.451514403	-0.515877516	0.094782845	-0.512368696	0.574262871	-0.169047955	0.407919509	0.071630842	-1.475051717	0.324156635	-0.545653866	0.035112562	-0.212732823	-0.17425292	-0.620703422	0.84664391	-0.307918643	0.260498448	0.393236805	-1.030624625	-0.973372045	0.195361647	0.48586141	0.327312107	0.39584518	0.19495961	-0.563901315	-0.084877328	0.314657682	-0.660505923	-0.414877637	1.594738935	0.088188839	-0.027552756	0.01541348	-0.422420883	0.059748961	0.231054908	0.045342997	-2.343079608	0.023096674	-0.072111753	0.33087649	0.261774354	0.131026014	0.388444292	0.062379531	0.380957708	0.116588745	-0.747567135	0.176794083	-0.851677193	0.048821955	0.408930879	0.164070368	0.165752064	0.597672536	-0.103984256	0.045700678	0.102608018	-1.561173426	-0.461602293	-0.15159335	-0.240078582	-0.782631633	0.314751873	-0.495829723	-1.469201839	-0.312236736	-0.023231428	0.09329929	0.082120883	0.292287837	0.152396673	-0.72320593	-0.793980432	0.051263933	0.323724786	0.043077393	0.378212502	0.42274615	-0.075706674	-0.054731677	0.062155569	-0.573593793	-0.075446707	-0.494542114	-0.30988025	-2.538949771	-0.175759556	0.135327388	-0.069981705	-0.327498423	-0.324941698	-0.072027654	0.234673066	-0.478279872	-0.455100962
TCGA-BH-A0BJ	0.000238912	0.630936341	0.498449332	0.2109778	-0.828776328	-0.730360505	-0.162908314	0.568053476	-0.580429438	0.017086461	-0.04692226	-2.450329018	0.520501604	0.153678349	-0.709837884	-0.977252915	0.47418716	1.455172171	0.625746493	0.226195583	0.554966645	0.597089204	-0.062486528	0.24418328	0.732406045	-0.476412653	-1.515457107	0.240882068	0.190313909	0.762183548	1.439295906	0.108807674	-1.121897015	0.730148263	0.250450553	0.449666336	-0.49385343	-0.590139019	0.513495109	-0.963426442	-0.232451934	-0.254154515	-0.701096094	-0.383276888	2.768811409	-0.115633628	-2.684702391	-0.066758241	-0.937007676	-0.218616409	-0.536360245	-0.047370048	-2.416796851	-0.303141622	0.001406855	2.496320916	-0.831568388	0.455028696	0.053985959	0.20817501	0.726877223	0.369205957	0.631352361	-0.071252124	-0.046170564	0.352826077	0.746476416	0.18107736	0.209593864	-0.042468635	0.640124926	-0.441008288	0.854112426	0.123468822	-0.2914081	1.201047801	-0.79715495	0.315813116	0.04922254	-0.701458482	0.135454427	-0.098562068	1.393356137	0.399011149	-0.772618117	-0.853804659	-0.062903914	0.06230654	0.312259076	0.009497137	0.095559622	0.576283665	0.773137155	-0.337208277	-0.04599856	-0.494415483	0.879262466	0.199343345	0.652814635	-0.167804582	-1.380944825	0.703342816	-0.129652602	0.299266949	-0.780993517	0.21108585	-0.934457025	-0.655103841	0.503551985	-0.013059197	-0.373257192	-0.911507233	0	0.351083087	0.01636321	0.416324397	-0.103373504	0.534409091	-0.761324568	-0.001370417	0.794782158	0.404355655	0.160276349	-0.348790087	-0.08301736	-0.446196711	-0.284741018	-0.978171372	0.668122414	0.226143263	0.109505134	-2.701537693	0.503843813	0.174710973	0.592660486	-0.228560026	0.259010064	0.872007935	-0.006555824	-0.218555049	-0.70092252	-0.435548027	3.096768976	-0.705468779	0.188304872	0.121770187	0.295078732	0.705740679	0.762488713	0.8590605	-0.127144804	0.425959686	-0.972508231	0.736449249	-0.793527247	-0.760418772	-0.068903654	-0.799150685	-0.578930078	-4.847127186	-0.368831777	-0.411409145	-0.003695659	0.306837315	0.300102395	0.244385576	-1.658408147	-0.300333699	0.021227518	-0.002371016	-0.801985521	0.960323353	0.299380623	0.142838708	-0.086537	-0.016713571	0.059444426	0.186318873	-0.527645509	-0.060688791	-2.29776817	-0.939390629	0.609909049	0.194287632	-0.196852393	-0.159390812	-0.557040644	-0.175101365	-0.209408334	-0.177367528
TCGA-BH-A0BS	-0.204252415	0.106767254	0.290158153	0.351874925	-0.288024084	-1.082320034	-0.044386019	0.589689327	0.232641191	-0.031143195	0.688150065	1.667249553	-0.087235155	0.83263743	-0.356484572	-0.358435817	-0.002763131	0.440362079	-0.824582747	-0.027306407	0.690909907	-0.244366687	0.002356159	0.099091691	0.50599846	0.193846508	-0.221256971	0	0.162081257	-0.216071287	1.089380337	0.052652147	-0.050132483	1.479944418	-0.250630311	0.490648056	-0.189306622	-0.481854129	-0.629196607	0.066140828	-0.058849399	0.35241959	-0.340112852	-0.808009423	-0.604926803	-0.304759543	-0.194376715	-0.281737314	-0.398868377	-0.253773496	-0.201240952	0.260006663	-0.208537058	0.380929132	2.583805784	-0.643610229	-0.315054036	0.081240487	-0.489010151	-0.080395373	0.633414485	0.04741585	1.127493851	0.068105087	0.136891956	-0.113885351	-0.427530116	-0.086009616	-0.076929642	0.116218219	2.324016889	0.335595028	0.82571141	-0.075922568	0.734108277	-0.289371744	-0.324753968	-0.028765852	-0.336083854	0.013661819	1.508098416	0.596193903	2.23303651	0.941165015	-1.062772792	-0.915887112	1.226297185	0.538646828	-0.218452906	-0.105767691	0.032479269	-0.69685087	0.979322175	1.442953	-0.2000143	-0.337045758	0.448172229	0.190840795	-0.362856999	0.238786854	-2.677329556	0.072633176	-0.177395608	0.444814104	-0.17432399	1.182120605	-0.088338812	0.637863019	0.344096719	-0.225015679	-0.028980644	-0.512789911	-0.113895143	0.803122109	0.045803002	0.18565952	-0.411310429	0.053323439	-0.167583108	-0.108724017	0.011925889	-0.493754699	0.015415055	0.547474397	0.005837806	-0.130344673	1.014204642	-0.345164435	0.475198182	0.271049981	-0.120083602	-0.548588607	0.027749619	0.266702159	-0.208778396	-0.182877395	0.064940305	0.691360472	-0.159485434	-0.526119762	0.093690206	0.613898523	2.495316853	-0.573975705	0.123257764	1.807284388	0.763553844	1.027706545	-0.100106937	0.170412227	-0.191860427	0.148863682	-0.798880866	1.686943364	0.592823229	-0.236481923	0.266013763	-0.274716983	-0.112127417	0.356462913	0.018751164	0.082222537	0.18034566	-0.01737906	0.039633336	0.099902911	-0.338073542	-0.785695364	-0.025123186	0.361680937	-0.260669792	-0.149691321	-0.369960179	0.222320499	-0.166027314	0.954987756	-0.803122664	0.582942254	-0.431992217	0.795664287	0.923877394	-0.252023676	0.075748478	-0.046901076	-0.165612282	-0.177746736	-0.647213036	0.051445551	-0.100870467	0.339551632
TCGA-A8-A06Z	-0.370845735	-0.4286764	0.220875556	-0.20192221	0.094765368	0.237095094	0.066117366	-0.309655375	0.448225118	2.438889057	2.263232062	0.26283131	-0.298057333	-0.379421739	-0.121548048	0	0.459890333	0.637897153	-1.262306456	-0.106772186	1.1549448	-0.48166206	0.1319544	0.094162325	-0.756461666	1.425829508	0.451035008	-0.283095833	0.123880892	-0.569467923	0.996934892	-0.141590461	-0.174220807	0.644610147	-0.393976416	0.473058373	-0.247377586	-0.332958415	-0.805226823	-0.144567765	-0.25300395	-0.046663124	0.035445506	-0.777577219	-0.350017175	-0.386023505	-0.319340525	-0.264968769	-0.251515365	-0.324492611	-0.05710678	0.296303317	0.234331243	0.282118699	2.237119695	-0.832890541	0.386780278	0.598981605	-0.292236536	0.021876968	1.14362885	0.000330862	0.843900059	0.142776133	0.406302115	-0.371369755	-0.180487132	-0.292192763	0.002760626	1.109909226	2.437552138	0.577863212	-0.016490001	-0.151953492	2.247273011	-1.510994323	0.099858677	-0.553772717	-0.096731443	0.452435377	0.450588603	0.656693404	0.617899856	0.465069136	1.480027058	1.615091085	1.017187271	0.374361267	0.002012213	-0.110771924	-0.141243997	-1.737998053	2.44625444	-0.468851282	-0.281296263	-0.417820545	0.100596837	-0.146374782	-0.830202822	-0.074815658	-0.44597677	0.167394278	0.304150141	-0.078695322	-0.546057228	1.376066643	1.154302347	-2.052718257	-0.014427034	-0.454045347	-0.201430057	1.888323725	0.744862026	0.388754921	-0.151848375	-0.53730638	-0.010882549	0.323970361	-0.011801142	0.080832662	-0.347985029	-0.147557366	-0.17901439	1.466819783	0.811599918	0.155900765	0.955186273	0.312379413	-0.863417739	0.027953595	0.02493664	0.260285372	0.125964133	0.315396656	-0.142661522	0.011440117	0.2797274	-0.082920891	-0.249541986	-0.367693778	0.561513757	1.346001986	3.629209764	0.139234313	1.014353173	0.943648475	0.535630793	-0.348854722	-0.506992968	-0.461488442	-0.209591021	0.4878498	0.647548312	1.236974412	0.977737865	0.778508986	0.412085484	0.501236434	0.324863834	2.499947203	-0.04797211	-0.294521056	-0.191672014	-0.187117437	-0.362827907	-0.494256025	-0.364260168	-0.392077218	-0.446957965	0.475019801	-0.504258663	-0.366686231	-0.370434045	-0.227548645	-0.221835119	-0.367801583	0.371203	0.368014384	0.771930799	1.217929863	-1.722991309	-0.099322865	0.012657666	-0.883485548	-1.103882535	-0.148036525	0.011582449	-0.142121981	-0.174015722	0.063222022
TCGA-A2-A04T	-0.232578961	-0.135364921	0.368497631	0.785928751	-0.080866995	0.002300336	0.064970116	0.197862913	0.047595367	-0.219841546	-0.681949055	1.737948441	-0.105113369	0.053530398	0.405712857	0.123022639	-0.327302087	0.246096544	0.305716561	-0.380136898	-1.407866288	-0.200647212	-0.053623122	1.441225325	0.521409018	0.288832993	0.144646365	0.002391501	0.444501608	-0.104550965	-0.672662567	-0.258258951	0.048157234	0.953974575	-0.363583159	-0.21886221	0.072596604	-0.060052999	1.25320405	-0.102761566	0.000266605	0.661486096	-0.072185183	0.888581565	-0.068036618	-0.307135794	-0.106440017	-0.175556388	0.061590085	-0.076644809	0.093413317	0.667132777	0.0431164	0.07343011	-0.435239429	0.043481894	1.459300028	-0.751627102	1.086926631	0.151055021	-0.138432363	0.073776839	0.395692509	-0.039888008	-0.2461107	0.040536669	0.120270566	-0.295897397	0.439138272	1.54378272	-3.291919071	-0.46312023	0.859326376	0.093753545	-1.087781402	-0.133276601	2.61124124	-0.118824618	0.475400722	-0.130392102	0.570667186	2.233258088	-1.799910458	0.510167947	0.514157995	0.327555902	-0.338247881	-0.194834735	-0.037079728	-0.077901807	0.092108243	-0.310468295	-0.711229984	-0.680970555	-0.409664474	-0.212976629	0.167999053	0.636559302	0.492314823	0.031120506	-0.399178818	-0.027254233	0.375110479	-0.204070935	-0.317854443	0.079839182	-0.004629326	-0.541410301	0.205176042	-0.313963471	-0.120734312	1.119215499	0.700515325	-0.080364637	0.276383095	0.004083311	-0.333496835	0.02420221	-0.004348696	0.053748826	-0.051527321	0.260096493	0.978061008	1.439092729	0.036118375	-0.037505571	0.348640953	-0.008800741	-0.193157959	-0.133253802	-0.003086705	0.438184134	-0.332055094	-0.219309547	-0.114322802	-0.144788175	-0.009738163	0.278707913	0.250102638	0.438831346	-0.099377451	0.828104422	-0.725628964	-0.031559895	0.135966785	-0.103125762	-0.253292622	0.166646997	-0.365289568	-0.180173974	0.172833789	0.263414964	-0.531591784	1.513489505	-0.039315914	-0.190913268	0.308738854	-0.078323722	-0.154536138	0.134637019	-0.25698641	-0.049905522	-0.394119051	-0.32287094	-0.040864242	0.080393931	-0.105546524	0.330354094	-0.315038705	0.698922855	0	1.922450855	-0.182513739	0.289940082	0.411585027	0.182664141	2.488700199	0.112668431	0.06740646	-0.170549626	-0.039671974	0.048724519	-0.240843583	-0.164723963	-0.148272616	-0.102074433	0.09508081	-0.001748931	1.39700356	1.996011532
TCGA-A2-A04Q	0.347964293	0.341550592	-0.6774917	-0.421803616	-0.022178293	-0.356231351	0.260273957	-0.546962049	-0.144160057	-0.725369608	-1.385296109	-0.415298781	-0.088189985	-0.515417666	0.019103908	-0.018550385	-0.073179966	-0.123366727	0.501280648	-0.04973124	-0.308233704	0.084386334	0.014906606	0.068083267	0.295029627	-0.553604823	-0.693127058	0.41009335	-0.212697338	-0.220393169	0.38522076	0.144303976	0.168563675	0.01272173	0.4736499	0	0.086176827	0.439511626	1.920376038	0.475994319	0.226207594	-0.112025257	0.303696281	0.557766669	1.349380407	0.070068225	0.430667781	0.405620373	0.071222767	0.442825832	0.433590753	-0.319963958	0.507398449	-0.166408828	-0.124634752	2.55948905	-1.383271177	0.85720842	0.044457751	0.002155006	-0.02191346	-0.170232003	-0.090286836	-0.005047353	-0.046829267	0.665093781	0.386070983	0.557386681	-0.048842079	-0.968376363	-1.407971862	-0.287560147	-0.100810312	0.256112464	-1.313598385	-0.679913877	-0.149244268	0.554504885	0.105608589	-0.357949175	-0.090836018	-0.976937734	-1.297408206	-0.77558918	-0.633057996	-0.751310392	-0.506777741	0.812105316	-0.157469581	0.537638317	0.272297498	2.257489477	-0.446407057	-0.408540366	0.505664254	0.058346114	-0.101382628	-0.034358544	0.955402273	0.080895287	-0.654804371	0.137015189	-0.088346228	0.17392733	0.619562314	-0.485064773	-0.270037653	3.180822884	-0.546536593	0.611221149	0.256923697	0.58395056	-0.44254993	-0.044653931	0.67712742	0.229393941	0.122001569	0.256916344	0.28596696	0.14117422	-0.153991057	-0.217157185	0.681945994	-1.510279596	-0.532207292	0.334009029	-0.211205398	0.041667925	-0.570836362	-0.006196359	0.069289411	-0.373638885	-0.267441813	-0.467586074	-0.208448416	0.269220367	-0.034010405	0.088787359	0.031678795	0.482983048	0.135238823	-0.377928542	1.466199644	0.252613808	-0.111482157	-0.519284186	-0.048281165	-0.432432412	0.60611941	0.207356267	0.471693645	-0.470579914	-0.644579117	-0.760539252	0.21082766	0.130464683	-0.232026601	-0.439342902	-0.409075287	0.034280495	-0.12521337	0.470542979	0.110812422	0.06705012	0.310195542	0.226356052	0.073443887	0.595547087	0.198213804	0.300823944	0.642544509	-0.1407691	0.274314195	0.047185904	-0.255258337	-0.287044621	-1.34644531	-0.285021371	-0.221909015	-1.093995835	-2.162505308	0.194330904	0.111918819	0.351246896	0.324629806	-0.825596419	-0.058621079	0.241422763	-0.439727086	-0.486329218
TCGA-A2-A04U	0.001600466	-0.026686824	-0.02948063	0.543926455	-0.017726004	0.134905233	0.273532887	0.810740311	0.081433851	-0.235723218	-0.374792508	1.39408636	-0.029534409	-0.13183875	-0.274748048	-0.352934522	0.002215302	0.372954021	-0.19587626	-0.040934081	-1.14887981	-0.184552308	0.102329844	0.96022413	-0.335534888	-0.248800542	-0.01264993	0.161338057	0.557471319	-0.148832782	0.006705187	0.037511379	0.118886513	-0.07092668	0.058144747	-0.404363141	0.113232228	-0.138006958	-0.124377844	0.233466144	0.467357674	-0.211396794	-0.097347259	-0.235895571	-0.584963383	-0.234793081	0.009264835	-0.267082523	0.499132211	0.045635576	0.017998011	0.589255811	0.251766512	0.000726608	-0.564331129	0	1.562301615	-0.324003741	1.284533325	0.160578881	-0.07168088	0.281898234	-0.593385027	0.327879746	-0.516451692	0.116491604	0.209478809	0.006067567	0.235480557	0.740499277	-2.896040493	-0.225438108	0.755896724	0.027479345	-1.256660309	0.383416877	0.729459741	-0.102144012	0.1949544	-0.524946888	0.52821141	1.365627807	-1.750234606	0.152746757	-0.411939816	-0.429534927	-0.546271576	-0.154328463	0.421761301	-0.054442223	0.187136171	-0.513721422	-0.010049162	-0.023353342	-0.057462544	-0.396143567	-0.335144053	0.455651015	-0.28047347	0.362202216	-0.185219312	0.155868972	-0.013911684	0.398219967	-0.014974585	0.2849373	-0.260512717	0.398657353	0.616477508	-0.052998576	-0.023071437	-0.109006304	-0.164326425	0.234639012	0.36629311	0.277296444	0.123190373	0.151452882	0.124938215	0.321056958	-0.189569152	-0.444379729	0.136483986	-0.759429936	-0.182697277	-0.12490381	-0.263720021	-0.158077012	0.645747881	0.355370355	0.33497405	0.128982834	-0.477253793	-0.537180685	-0.215756763	-0.098887724	-0.037584457	-0.11771898	-0.016657681	-0.146093208	0.021577894	-0.583777048	-0.663601113	0.017538623	-0.154701881	-0.936140146	0.716677443	-0.144916213	-0.264696628	-0.23467052	0.144483269	0.413422104	-0.635520671	1.456885346	-0.069401179	-0.147890469	0.456102709	0.233457697	-0.432604918	0.682232404	-0.037634669	-0.345578786	-0.087230212	-0.014265266	0.016356574	0.162233355	-0.127822319	-0.298068648	0.008545304	0.6026551	0.22704686	0.055365644	0.510294174	-0.134379339	-0.157597288	0.029397866	0.487230554	0.265484564	-0.375405383	0.51595295	-3.639405563	0.408856848	0.226670428	0.086398508	0.148412699	0.40693431	-0.103301191	0.045687834	1.287821695	2.254461629
TCGA-E2-A156	-0.206042689	-0.105334	-0.484713662	-0.25333335	-0.081158567	0	0.00830246	0.735808674	0.307687787	0.973342531	0.906417082	1.01120134	0.11139733	-0.017832363	0.197703289	0.45398347	-0.295752508	-0.196314563	-0.867575989	-0.058999586	1.367159859	-0.014823356	0.115805969	-0.361689599	0.510827429	1.721103173	0.260908526	-0.149283246	0.148274058	-0.340600318	2.103441969	-0.18082002	-0.113833602	1.622107178	-0.196072701	0.482668231	-0.12121872	-0.108782815	-0.649020128	-0.098263522	-0.202510925	0.19483806	-0.214634439	-0.661711946	-0.595845223	-0.443429122	-0.044968368	-0.548820423	-0.291448133	-0.070804274	-0.10144407	0.204446131	-0.14817135	0.401163036	0.261266445	-0.435283712	-0.247738003	-0.359067925	-0.097834134	-0.237302648	0.867289407	0.030002011	1.527575026	-0.1513384	0.84611631	-0.424754135	0.105807724	-0.196905735	0.023259218	0.427009322	3.219385063	2.045099834	0.238643143	-0.204686553	0.580144681	-0.135543055	-0.183569156	-0.023127002	0.244286773	-0.361212598	0.839289659	0.046265088	1.464541244	0.257155262	1.416841321	1.334657428	0.402191938	0.053147556	0.007651306	-0.148240189	-0.070686554	-0.64055782	0.754520013	2.04944126	0.303977955	0.067691061	-0.263323066	0.551811306	-0.755098307	0.281339438	0.318417063	-0.333315977	0.387563991	-0.026124048	-0.15422867	1.175633535	0.453072594	-1.915788787	-0.074246957	-0.293045452	-0.146695196	0.071149472	0.499740679	0.067098145	0.142682906	-0.253695963	-0.607490614	-0.0678811	-0.085350008	-0.209450309	-0.115777849	0.614996735	-0.020541094	0.1230263	0.206816656	-0.042840022	0.604733812	0.442138644	-0.425724192	0.029699844	-0.406269619	1.762903687	0.056109735	0.438102263	-0.140000221	-0.358706709	-0.060468359	0.695219096	-0.310263226	-0.294209526	-0.077631547	0.815776926	6.310298942	0.131172395	-0.157006291	1.63605232	1.051096376	-0.183658186	-0.367748725	0.233902076	-0.265402187	0.472599436	0.274711714	0.373315797	0.501346679	0.146972562	0.055749221	0.064456106	-0.265590766	0.46364951	-0.062923651	-0.322558566	-0.054431192	0.147901829	-0.070220437	-0.562092519	-0.062617743	-0.459213214	-0.363790946	0.795669839	-0.351435989	-0.120715035	-0.374406978	-0.273919055	-0.39099048	0.212274057	0.075187767	0.471518268	0.526001603	2.363778767	-0.29515387	-0.160436269	0.03607959	0.255602136	0.789369095	-0.251946608	-0.041083221	0.108022433	0.035422091	0.237222875
